,Anderson,Andrews,Angelina,Aransas,Archer,Armstrong,Atascosa,Austin,Bailey,Bandera,Bastrop,Baylor,Bee,Bell,Bexar,Blanco,Borden,Bosque,Bowie,Brazoria,Brazos,Brewster,Briscoe,Brooks,Brown,Burleson,Burnet,Caldwell,Calhoun,Callahan,Cameron,Camp,Carson,Cass,Castro,Chambers,Cherokee,Childress,Clay,Cochran,Coke,Coleman,Collin,Collingsworth,Colorado,Comal,Comanche,Concho,Cooke,Coryell,Cottle,Crane,Crockett,Crosby,Culberson,Dallam,Dallas,Dawson,Deaf Smith,Delta,Denton,DeWitt,Dickens,Dimmit,Donley,Duval,Eastland,Ector,Edwards,Ellis,El Paso,Erath,Falls,Fannin,Fayette,Fisher,Floyd,Foard,Fort Bend,Franklin,Freestone,Frio,Gaines,Galveston,Garza,Gillespie,Glasscock,Goliad,Gonzales,Gray,Grayson,Gregg,Grimes,Guadalupe,Hale,Hall,Hamilton,Hansford,Hardeman,Hardin,Harris,Harrison,Hartley,Haskell,Hays,Hemphill,Henderson,Hidalgo,Hill,Hockley,Hood,Hopkins,Houston,Howard,Hudspeth,Hunt,Hutchinson,Irion,Jack,Jackson,Jasper,Jeff Davis,Jefferson,Jim Hogg,Jim Wells,Johnson,Jones,Karnes,Kaufman,Kendall,Kenedy,Kent,Kerr,Kimble,King,Kinney,Kleberg,Knox,Lamar,Lamb,Lampasas,La Salle,Lavaca,Lee,Leon,Liberty,Limestone,Lipscomb,Live Oak,Llano,Loving,Lubbock,Lynn,McCulloch,McLennan,McMullen,Madison,Marion,Martin,Mason,Matagorda,Maverick,Medina,Menard,Midland,Milam,Mills,Mitchell,Montague,Montgomery,Moore,Morris,Motley,Nacogdoches,Navarro,Newton,Nolan,Nueces,Ochiltree,Oldham,Orange,Palo Pinto,Panola,Parker,Parmer,Pecos,Polk,Potter,Presidio,Rains,Randall,Reagan,Real,Red River,Reeves,Refugio,Roberts,Robertson,Rockwall,Runnels,Rusk,Sabine,San Augustine,San Jacinto,San Patricio,San Saba,Schleicher,Scurry,Shackelford,Shelby,Sherman,Smith,Somervell,Starr,Stephens,Sterling,Stonewall,Sutton,Swisher,Tarrant,Taylor,Terrell,Terry,Throckmorton,Titus,Tom Green,Travis,Trinity,Tyler,Upshur,Upton,Uvalde,Val Verde,Van Zandt,Victoria,Walker,Waller,Ward,Washington,Webb,Wharton,Wheeler,Wichita,Wilbarger,Willacy,Williamson,Wilson,Winkler,Wise,Wood,Yoakum,Young,Zapata,Zavala
2002,"54,740","13,022","80,803","22,616","8,942","2,036","40,767","24,818","6,637","18,652","63,508","3,897","31,804","249,671","1,446,755","8,950",685,"17,474","88,813","255,246","159,297","8,945","1,746","7,668","37,766","16,666","36,850","34,715","20,550","12,799","350,194","11,549","6,508","30,120","8,083","27,490","47,136","7,428","11,292","3,521","3,732","8,937","563,565","3,093","20,328","82,797","13,582","3,959","37,390","73,135","1,726","3,891","3,841","6,852","2,829","6,159","2,250,326","14,429","18,439","5,366","487,617","20,015","2,679","10,042","3,825","12,707","18,252","122,199","2,056","118,737","696,446","33,619","18,090","31,808","22,668","4,242","7,289","1,536","397,943","9,536","18,395","16,467","14,453","260,096","5,385","21,585","1,339","7,051","18,882","21,940","113,239","112,767","24,736","95,246","35,598","3,709","8,069","5,242","4,547","49,045","3,536,682","62,062","5,364","5,915","111,397","3,357","74,712","610,520","33,120","22,745","43,344","32,335","23,257","33,479","3,398","80,234","23,116","1,697","8,916","14,172","35,692","2,201","250,146","5,220","39,821","133,399","20,293","15,178","77,693","24,975",429,815,"44,894","4,521",308,"3,463","31,413","4,044","48,826","14,658","18,425","6,098","19,101","16,131","15,718","73,280","22,486","3,033","11,955","17,872",75,"249,407","6,421","7,927","216,571",795,"12,797","11,032","4,654","3,725","37,662","48,408","40,707","2,340","117,717","24,981","4,973","9,420","19,170","326,466","20,155","13,170","1,311","59,422","45,937","14,945","15,194","316,256","9,106","2,069","83,813","27,144","22,953","94,092","10,032","16,084","43,928","115,427","7,534","9,985","106,286","3,189","3,020","13,914","13,017","7,665",862,"16,053","50,078","11,002","48,244","10,477","8,985","23,415","66,820","6,042","3,036","15,982","3,388","25,155","3,164","181,107","7,229","55,412","9,374","1,326","1,487","4,072","8,071","1,524,249","125,920","1,009","12,559","1,739","28,387","104,035","848,090","14,033","20,825","36,739","3,273","26,309","45,495","49,953","84,573","62,216","35,060","10,337","30,741","206,001","40,915","5,094","130,761","14,248","20,198","290,112","34,254","6,960","52,381","37,633","7,212","17,665","12,514","11,616"
2003,"56,068","12,976","81,510","22,843","9,013","2,001","41,306","25,388","6,791","19,044","65,825","3,941","32,620","252,922","1,469,623","9,096",666,"17,647","88,839","261,269","163,279","9,030","1,763","7,627","37,654","16,881","37,776","35,330","20,575","12,913","358,492","11,582","6,391","30,065","8,037","28,021","47,832","7,411","11,270","3,490","3,678","8,827","589,394","3,026","20,507","84,837","13,526","3,991","37,598","71,364","1,699","3,847","3,862","6,718","2,778","6,148","2,246,432","14,354","18,454","5,310","509,732","20,034","2,670","10,075","3,898","12,570","18,333","122,739","2,042","122,620","705,200","34,131","18,086","32,380","22,910","4,191","7,364","1,513","418,747","9,597","18,483","16,477","14,747","265,269","5,531","22,128","1,332","7,135","19,181","21,762","114,421","113,775","25,016","98,137","35,553","3,699","8,225","5,216","4,534","49,472","3,586,133","62,018","5,789","5,883","115,665","3,362","76,349","632,475","33,755","22,955","44,448","32,625","23,336","33,396","3,345","80,958","22,773","1,672","8,965","14,070","35,580","2,235","250,183","5,148","40,008","136,264","20,355","15,119","81,322","25,892",428,795,"45,278","4,510",311,"3,394","31,339","4,018","49,159","14,675","18,579","6,169","19,152","16,234","15,795","73,734","22,721","3,097","11,768","18,153",72,"253,388","6,232","8,033","218,744",801,"12,989","11,120","4,553","3,762","37,695","49,123","41,549","2,311","119,164","24,917","4,885","9,366","19,388","341,499","20,223","13,139","1,319","59,816","46,078","14,938","15,148","317,632","8,981","2,072","83,553","27,294","23,021","97,041","10,155","15,709","44,779","117,067","7,583","10,290","107,607","3,130","3,123","13,703","12,910","7,563",825,"16,074","53,397","10,815","48,540","10,482","9,034","24,100","66,440","5,981","2,958","15,931","3,349","25,407","3,113","184,254","7,400","56,704","9,407","1,285","1,452","4,029","8,062","1,553,086","125,542",995,"12,534","1,702","28,947","104,330","856,315","14,156","20,823","37,232","3,202","26,258","46,184","50,293","84,674","63,609","36,333","10,237","30,995","211,786","41,026","4,926","130,411","14,023","20,418","302,895","35,458","6,738","53,691","38,915","7,235","17,892","12,584","11,513"
2004,"56,245","13,006","82,070","23,067","9,078","2,023","42,109","25,976","6,945","19,226","67,122","3,955","32,352","258,138","1,500,919","9,337",671,"17,871","89,055","268,051","166,150","9,002","1,768","7,593","37,940","16,964","38,966","36,200","20,692","13,156","366,299","11,715","6,381","30,053","7,947","28,749","48,315","7,366","11,278","3,373","3,559","8,817","617,802","3,028","20,450","88,119","13,646","4,018","37,815","71,943","1,679","3,865","3,857","6,625","2,695","6,208","2,244,020","14,062","18,671","5,409","529,811","20,176","2,641","9,964","3,915","12,539","18,442","124,163","2,027","125,733","717,652","34,887","18,066","32,692","23,107","4,118","7,130","1,492","441,139","9,731","18,684","16,532","14,978","269,760","5,800","22,454","1,290","7,071","19,370","21,551","114,998","114,541","25,209","101,495","36,259","3,665","8,181","5,209","4,474","50,220","3,630,185","62,583","5,800","5,851","119,395","3,410","77,807","653,779","34,064","22,919","45,411","33,061","23,578","33,403","3,345","82,092","22,478","1,629","9,028","14,039","35,493","2,242","250,638","5,173","40,309","138,833","20,298","15,109","84,240","26,650",440,791,"46,054","4,562",316,"3,395","31,362","3,940","49,233","14,584","19,664","6,322","19,130","16,220","15,837","74,285","22,942","3,028","11,689","18,220",55,"255,669","6,172","8,164","221,353",735,"13,146","11,004","4,398","3,811","37,388","49,627","42,363","2,265","120,746","25,136","4,880","9,280","19,444","357,607","20,389","12,983","1,270","60,427","46,545","14,560","15,013","321,879","9,149","2,039","83,580","27,276","22,892","99,320","10,168","15,554","45,315","117,682","7,561","10,446","109,441","3,161","3,138","13,584","12,721","7,630",841,"16,260","56,477","10,774","49,160","10,498","9,085","24,756","66,990","6,045","2,991","16,118","3,290","25,212","3,045","187,300","7,502","57,857","9,327","1,261","1,427","4,124","8,004","1,580,595","126,702",939,"12,532","1,652","29,461","104,744","870,809","14,246","21,038","37,530","3,168","26,205","46,941","51,366","84,718","64,551","36,850","10,189","31,330","217,858","40,992","4,934","131,677","13,879","20,767","316,532","36,721","6,735","54,497","39,600","7,362","17,921","12,727","11,512"
2005,"56,873","13,016","82,553","23,561","9,068","2,037","42,495","26,331","7,024","19,428","68,233","3,877","32,101","266,017","1,529,270","9,554",638,"17,990","89,239","274,336","169,824","8,830","1,726","7,562","38,172","17,167","39,798","36,388","20,715","13,281","373,429","11,990","6,449","30,088","7,908","29,388","48,751","7,205","11,317","3,338","3,540","8,739","647,187","2,980","20,493","91,018","13,746","4,039","38,143","72,610","1,653","3,840","3,851","6,521","2,648","6,238","2,250,830","14,092","18,737","5,314","553,669","20,342","2,563","10,031","3,833","12,426","18,533","125,378","2,011","129,955","728,095","35,336","17,990","33,221","23,342","4,135","6,983","1,439","462,953","10,745","18,843","16,618","15,331","274,806","5,742","22,858","1,273","7,070","19,656","21,776","115,666","115,402","25,350","105,585","36,066","3,613","8,263","5,258","4,417","51,141","3,681,829","62,811","5,794","5,904","125,302","3,480","78,001","674,982","34,203","23,094","46,470","33,330","23,500","33,277","3,416","82,822","22,209","1,613","9,092","14,037","35,558","2,249","250,849","5,194","40,449","140,692","20,232","14,967","87,388","27,849",457,784,"46,809","4,609",289,"3,449","31,242","3,822","49,344","14,583","18,906","6,542","19,185","16,330","16,104","74,303","22,919","3,057","11,631","18,425",70,"257,779","6,178","8,117","222,794",789,"13,136","10,980","4,447","3,813","37,132","50,140","42,977","2,212","122,516","25,017","4,957","9,322","19,551","372,541","20,312","13,012","1,257","60,939","46,854","14,625","14,745","325,515","9,384","2,010","83,500","27,511","23,140","101,891","10,099","15,385","45,472","118,771","7,719","10,589","111,113","3,143","3,154","13,444","12,675","7,601",855,"16,509","60,349","10,842","49,703","10,445","9,060","25,014","67,232","5,982","3,071","16,085","3,286","25,299","2,970","191,362","7,629","58,284","9,409","1,198","1,393","4,203","7,910","1,612,048","127,248",942,"12,417","1,695","28,803","104,974","891,266","14,395","20,935","37,957","3,117","26,368","47,108","51,579","84,453","65,676","37,242","10,232","31,710","223,703","40,987","4,945","130,767","13,830","21,229","332,169","37,706","6,578","55,613","39,917","7,404","17,801","13,043","11,565"
2006,"57,386","13,195","83,810","23,395","9,063","1,989","43,059","26,828","7,001","19,775","69,720","3,870","31,977","273,771","1,573,935","9,686",634,"18,046","90,235","284,248","175,433","8,790","1,704","7,490","38,492","17,000","41,109","36,533","20,839","13,309","380,169","12,068","6,413","30,095","7,780","29,980","49,162","7,214","11,157","3,257","3,492","8,853","683,935","2,952","20,608","95,637","13,814","3,957","38,241","72,217","1,577","3,855","3,739","6,466","2,587","6,205","2,275,434","13,987","18,770","5,355","584,561","20,108","2,466","9,972","3,779","12,298","18,545","127,476","1,995","135,276","744,795","36,355","17,945","33,540","23,631","4,098","6,855","1,432","490,916","10,755","19,123","16,720","15,707","279,182","5,996","23,487","1,202","7,121","19,633","22,100","117,174","117,118","25,639","111,878","36,162","3,582","8,389","5,293","4,409","51,470","3,807,435","63,699","5,911","5,817","132,111","3,523","78,404","695,352","34,484","22,912","47,952","33,746","23,551","33,328","3,459","83,770","22,176","1,649","9,177","13,954","34,861","2,264","245,962","5,160","40,393","142,501","20,242","14,985","91,395","29,134",426,770,"47,840","4,578",285,"3,488","31,149","3,788","49,386","14,338","19,472","6,549","19,181","16,348","16,334","74,269","23,093","3,115","11,559","18,502",75,"261,761","6,192","8,183","224,452",765,"13,264","10,992","4,443","3,862","36,743","50,951","43,936","2,199","125,844","25,082","4,854","9,279","19,781","392,497","20,558","13,168","1,236","61,750","47,338","14,349","14,740","329,113","9,557","2,010","81,687","27,859","23,456","105,387","10,035","15,403","45,495","119,780","7,638","10,830","112,464","3,160","3,264","13,237","12,747","7,548",849,"16,581","66,117","10,587","50,415","10,583","9,128","25,151","67,022","5,985","3,085","16,232","3,287","25,324","2,946","196,124","7,853","59,050","9,450","1,124","1,425","4,299","7,901","1,662,005","127,838",921,"12,448","1,710","29,541","106,125","925,151","14,376","21,034","38,004","3,174","26,301","47,401","52,194","84,528","65,591","38,260","10,301","32,199","229,307","41,073","5,055","131,376","13,835","21,463","351,970","39,007","6,642","56,569","41,099","7,404","18,227","13,069","11,642"
2007,"57,870","13,513","84,518","23,172","9,026","1,936","43,611","27,454","6,927","20,254","71,348","3,905","31,936","287,752","1,615,210","9,835",597,"18,077","90,456","293,296","179,472","8,843","1,647","7,413","38,221","16,982","42,026","36,906","20,888","13,418","386,306","12,253","6,361","30,176","7,737","30,714","49,669","7,148","11,051","3,194","3,375","8,774","714,330","2,973","20,648","99,540","13,775","4,018","38,252","73,324","1,513","3,976","3,759","6,262","2,536","6,336","2,291,891","13,865","18,916","5,199","609,001","19,961","2,461","9,845","3,806","12,097","18,636","130,459","2,062","139,988","755,578","36,678","17,712","33,644","23,898","4,080","6,683","1,383","516,564","10,799","19,162","16,776","16,187","283,770","6,049","23,787","1,164","7,142","19,512","22,438","118,331","118,260","26,046","117,667","36,080","3,440","8,452","5,365","4,296","52,446","3,863,344","63,661","6,047","5,802","140,480","3,538","78,178","715,264","34,650","22,844","48,870","34,331","23,641","33,817","3,462","84,351","22,138","1,609","9,068","13,857","35,069","2,277","247,629","5,131","40,654","145,123","20,102","14,900","95,694","30,330",415,788,"48,352","4,518",284,"3,546","31,370","3,721","49,387","14,270","19,728","6,675","19,238","16,421","16,390","74,515","23,090","3,178","11,528","18,935",79,"265,215","5,989","8,105","226,741",773,"13,353","10,951","4,494","3,897","36,452","51,367","44,577","2,176","128,954","24,946","4,871","9,339","19,822","411,416","20,469","13,251","1,228","62,274","47,272","14,335","14,750","330,512","9,812","1,992","82,255","27,679","23,351","109,408","10,075","15,321","45,727","119,537","7,712","10,994","114,782","3,260","3,308","13,072","13,039","7,414",887,"16,546","70,851","10,506","51,278","10,541","9,048","25,719","66,723","5,985","3,198","16,431","3,357","25,433","2,969","199,953","7,996","59,529","9,513","1,152","1,439","4,314","7,855","1,707,157","128,503",886,"12,424","1,653","30,231","106,680","955,399","14,425","21,279","38,275","3,123","26,217","47,676","52,151","85,261","65,517","39,809","10,275","32,434","234,594","40,845","5,138","130,564","13,746","21,576","373,723","40,354","6,775","57,247","41,414","7,588","18,135","13,388","11,657"
2008,"57,963","14,099","84,961","23,225","9,104","1,936","43,947","27,935","6,979","20,407","72,389","3,747","31,814","297,873","1,651,709","10,061",612,"17,939","91,349","301,336","185,098","8,868","1,651","7,345","38,135","17,025","42,477","37,671","21,127","13,474","393,000","12,331","6,260","30,217","7,758","31,619","49,976","7,123","10,843","3,100","3,348","8,899","741,264","3,017","20,818","103,272","13,834","4,108","38,223","74,552","1,527","4,157","3,783","6,192","2,490","6,506","2,314,018","13,804","19,054","5,252","630,104","19,902","2,400","9,833","3,688","11,945","18,520","133,064","2,084","144,394","769,930","37,137","17,698","33,870","24,347","4,065","6,528","1,334","542,957","10,604","19,446","16,939","16,641","288,643","6,158","24,206","1,218","7,164","19,538","22,772","118,834","119,157","26,273","123,398","35,662","3,398","8,497","5,512","4,187","53,206","3,938,580","64,107","5,820","5,839","147,674","3,680","78,033","736,694","34,997","22,958","50,112","34,472","23,635","34,393","3,374","84,447","21,851","1,571","9,030","13,957","35,170","2,316","249,430","5,198","40,554","148,635","20,131","14,867","99,285","31,754",410,787,"48,852","4,520",272,"3,507","31,555","3,650","49,467","14,036","19,812","6,653","19,185","16,550","16,832","74,915","23,065","3,183","11,479","19,034",61,"268,197","5,932","8,203","229,037",736,"13,340","10,748","4,558","3,876","36,708","52,190","45,131","2,217","132,502","25,065","4,876","9,285","19,882","429,818","20,917","13,092","1,197","62,957","47,408","14,393","15,093","333,526","9,962","2,004","82,612","27,916","23,537","112,911","9,994","15,251","45,794","119,740","7,683","11,022","116,518","3,339","3,241","12,922","13,211","7,430",904,"16,535","73,929","10,444","52,195","10,565","9,039","25,889","66,417","5,965","3,255","16,478","3,314","25,381","3,035","203,263","8,233","59,763","9,556","1,169","1,443","4,321","7,802","1,745,602","128,903",884,"12,394","1,635","30,963","107,639","980,699","14,380","21,570","38,706","3,231","26,206","47,882","52,470","85,762","65,726","40,578","10,588","32,869","240,287","40,893","5,199","130,340","13,506","21,763","395,437","41,657","7,024","58,181","41,722","7,765","18,104","13,640","11,725"
2009,"58,410","14,601","86,029","23,291","9,023","1,911","44,623","28,254","7,050","20,365","73,587","3,726","31,864","301,050","1,685,628","10,315",618,"18,004","92,231","309,236","191,434","9,054","1,634","7,297","38,001","17,076","42,611","37,829","21,388","13,548","400,303","12,364","6,220","30,297","7,856","34,230","50,447","7,030","10,832","3,086","3,310","8,867","765,791","3,042","20,784","106,350","13,912","4,076","38,413","74,673","1,509","4,333","3,740","6,057","2,384","6,571","2,346,378","13,741","19,084","5,180","649,702","20,048","2,423","9,848","3,670","11,917","18,497","136,930","2,012","147,392","786,759","37,594","17,762","33,865","24,470","4,014","6,508","1,321","569,130","10,601","19,743","17,120","17,163","287,428","6,368","24,608","1,224","7,157","19,628","22,719","120,069","121,238","26,422","128,265","35,926","3,343","8,527","5,556","4,086","54,228","4,034,866","65,185","5,970","5,862","153,619","3,802","78,231","757,468","35,005","23,086","50,841","34,919","23,660","34,882","3,423","85,261","22,184","1,587","9,057","14,089","35,331","2,326","251,332","5,260","40,633","150,583","20,093","14,805","101,709","32,655",403,793,"49,427","4,623",279,"3,568","31,876","3,647","49,600","13,791","19,652","6,771","19,226","16,565","16,862","75,041","23,173","3,326","11,410","19,175",77,"274,252","5,927","8,365","231,679",699,"13,483","10,669","4,710","3,982","36,579","53,434","45,605","2,227","136,238","24,864","4,877","9,399","19,768","445,836","21,575","12,954","1,200","64,012","47,584","14,446","15,128","338,220","10,225","2,040","81,586","28,071","23,678","115,802","10,082","15,490","45,537","120,118","7,593","10,956","119,084","3,377","3,274","12,835","13,550","7,410",929,"16,604","76,654","10,392","52,799","10,721","8,938","26,086","65,751","6,026","3,311","16,806","3,362","25,520","3,018","207,111","8,415","60,384","9,675","1,160","1,433","4,272","7,680","1,784,078","130,247",930,"12,550","1,654","31,749","108,879","1,006,503","14,472","21,737","39,084","3,327","26,223","48,463","52,359","86,635","66,748","42,087","10,734","33,459","245,908","40,998","5,375","130,913","13,575","21,862","410,800","42,181","7,128","59,134","41,870","7,908","18,466","13,876","11,544"
